,stasiun,pm10,so2,co,o3,no2,categori
100,DKI5 (Kebon Jeruk),19.0,6.0,90.0,96.0,28.0,SEDANG
101,DKI5 (Kebon Jeruk),8.0,8.0,12.0,44.0,11.0,BAIK
102,DKI5 (Kebon Jeruk),10.0,10.0,21.0,39.0,12.0,BAIK
103,DKI5 (Kebon Jeruk),58.0,3.0,9.0,31.0,5.0,SEDANG
104,DKI5 (Kebon Jeruk),13.0,3.0,10.0,26.0,3.0,BAIK
105,DKI5 (Kebon Jeruk),22.0,4.0,30.0,75.0,13.0,SEDANG
106,DKI5 (Kebon Jeruk),49.0,4.0,19.0,20.0,8.0,BAIK
107,DKI5 (Kebon Jeruk),52.0,4.0,15.0,62.0,14.0,SEDANG
108,DKI5 (Kebon Jeruk),64.0,5.0,27.0,54.0,14.0,SEDANG
109,DKI5 (Kebon Jeruk),67.0,6.0,25.0,50.0,10.0,SEDANG
110,DKI5 (Kebon Jeruk),56.0,4.0,33.0,39.0,10.0,SEDANG
111,DKI5 (Kebon Jeruk),46.0,4.0,9.0,35.0,4.0,BAIK
112,DKI5 (Kebon Jeruk),59.0,5.0,19.0,100.0,11.0,SEDANG
113,DKI5 (Kebon Jeruk),63.0,3.0,20.0,72.0,13.0,SEDANG
114,DKI5 (Kebon Jeruk),59.0,3.0,26.0,85.0,18.0,SEDANG
115,DKI5 (Kebon Jeruk),74.0,3.0,26.0,58.0,16.0,SEDANG
116,DKI5 (Kebon Jeruk),76.0,3.0,37.0,52.0,14.0,SEDANG
117,DKI5 (Kebon Jeruk),51.0,2.0,23.0,64.0,11.0,SEDANG
118,DKI5 (Kebon Jeruk),47.0,4.0,17.0,81.0,12.0,SEDANG
119,DKI5 (Kebon Jeruk),81.0,3.0,44.0,84.0,17.0,SEDANG
120,DKI5 (Kebon Jeruk),80.0,3.0,31.0,112.0,14.0,TIDAK SEHAT
121,DKI5 (Kebon Jeruk),90.0,4.0,36.0,213.0,12.0,SANGAT TIDAK SEHAT
122,DKI5 (Kebon Jeruk),79.0,4.0,21.0,155.0,8.0,TIDAK SEHAT
123,DKI5 (Kebon Jeruk),61.0,3.0,14.0,34.0,7.0,SEDANG
124,DKI5 (Kebon Jeruk),38.0,3.0,11.0,68.0,5.0,SEDANG
