,place,pm10,so2,co,o3,no2,AQI_category
158,Place_1,47.0,2.0,31.0,3.0,11.0,BAIK
159,Place_1,55.0,2.0,42.0,4.0,18.0,SEDANG
160,Place_1,39.0,1.0,32.0,3.0,14.0,BAIK
161,Place_1,67.0,2.0,53.0,6.0,29.0,SEDANG
162,Place_1,86.0,4.0,46.0,6.0,21.0,SEDANG
163,Place_1,60.0,2.0,42.0,5.0,17.0,SEDANG
164,Place_1,66.0,2.0,35.0,5.0,19.0,SEDANG
165,Place_1,37.0,1.0,33.0,3.0,9.0,BAIK
166,Place_1,66.0,2.0,58.0,4.0,25.0,SEDANG
167,Place_1,56.0,4.0,51.0,41.0,13.0,SEDANG
168,Place_1,60.0,4.0,26.0,44.0,13.0,SEDANG
169,Place_1,83.0,2.0,71.0,94.0,21.0,SEDANG
170,Place_1,71.0,3.0,53.0,69.0,19.0,SEDANG
171,Place_1,62.0,4.0,54.0,31.0,21.0,SEDANG
172,Place_1,54.0,5.0,33.0,35.0,15.0,SEDANG
173,Place_1,58.0,4.0,40.0,49.0,17.0,SEDANG
174,Place_1,71.0,4.0,53.0,66.0,30.0,SEDANG
175,Place_1,77.0,4.0,48.0,46.0,16.0,SEDANG
176,Place_1,61.0,5.0,34.0,63.0,11.0,SEDANG
177,Place_1,67.0,5.0,36.0,100.0,18.0,SEDANG
178,Place_1,77.0,5.0,36.0,104.0,21.0,TIDAK SEHAT
179,Place_1,85.0,10.0,34.0,93.0,18.0,SEDANG
180,Place_1,83.0,6.0,58.0,74.0,26.0,SEDANG
181,Place_1,58.0,11.0,38.0,46.0,19.0,SEDANG
182,Place_1,63.0,11.0,33.0,47.0,13.0,SEDANG
183,Place_1,62.0,8.0,35.0,39.0,12.0,SEDANG
184,Place_1,55.0,7.0,31.0,35.0,20.0,SEDANG
185,Place_1,67.0,8.0,43.0,58.0,21.0,SEDANG
186,Place_1,55.0,5.0,43.0,41.0,23.0,SEDANG
187,Place_1,57.0,7.0,51.0,23.0,22.0,SEDANG
188,Place_1,52.0,6.0,49.0,21.0,22.0,SEDANG
189,Place_1,58.0,8.0,46.0,37.0,15.0,SEDANG
190,Place_1,61.0,7.0,33.0,40.0,12.0,SEDANG
191,Place_1,74.0,13.0,38.0,67.0,17.0,SEDANG
192,Place_1,70.0,7.0,36.0,91.0,18.0,SEDANG
193,Place_1,57.0,7.0,37.0,67.0,20.0,SEDANG
194,Place_1,80.0,10.0,39.0,75.0,26.0,SEDANG
195,Place_1,60.0,6.0,45.0,58.0,21.0,SEDANG
196,Place_1,60.0,5.0,36.0,76.0,19.0,SEDANG
197,Place_1,35.0,4.0,32.0,47.0,20.0,BAIK
198,Place_1,65.0,8.0,46.0,59.0,19.0,SEDANG
199,Place_1,75.0,8.0,43.0,51.0,23.0,SEDANG
200,Place_1,68.0,6.0,43.0,88.0,25.0,SEDANG
201,Place_1,75.0,7.0,45.0,59.0,20.0,SEDANG
202,Place_1,64.0,12.0,41.0,66.0,21.0,SEDANG
203,Place_1,72.0,9.0,30.0,76.0,16.0,SEDANG
204,Place_1,69.0,6.0,56.0,68.0,22.0,SEDANG
205,Place_1,56.0,4.0,40.0,52.0,19.0,SEDANG
206,Place_1,71.0,9.0,54.0,36.0,21.0,SEDANG
207,Place_1,58.0,8.0,31.0,57.0,17.0,SEDANG
208,Place_1,63.0,8.0,44.0,44.0,13.0,SEDANG
209,Place_1,52.0,7.0,23.0,38.0,8.0,SEDANG
210,Place_1,58.0,7.0,24.0,68.0,15.0,SEDANG
211,Place_1,67.0,5.0,58.0,65.0,24.0,SEDANG
212,Place_1,70.0,9.0,35.0,77.0,19.0,SEDANG
213,Place_1,62.0,8.0,35.0,56.0,20.0,SEDANG
214,Place_1,61.0,7.0,32.0,72.0,21.0,SEDANG
215,Place_1,70.0,10.0,32.0,74.0,17.0,SEDANG
216,Place_1,56.0,6.0,31.0,42.0,15.0,SEDANG
217,Place_1,57.0,8.0,30.0,49.0,16.0,SEDANG
218,Place_1,61.0,7.0,19.0,51.0,11.0,SEDANG
219,Place_1,65.0,6.0,33.0,50.0,27.0,SEDANG
220,Place_1,78.0,7.0,32.0,89.0,19.0,SEDANG
221,Place_1,55.0,4.0,19.0,78.0,17.0,SEDANG
222,Place_1,67.0,6.0,58.0,88.0,12.0,SEDANG
223,Place_1,53.0,4.0,21.0,74.0,12.0,SEDANG
224,Place_1,56.0,4.0,19.0,79.0,11.0,SEDANG
225,Place_1,53.0,5.0,23.0,74.0,13.0,SEDANG
226,Place_1,51.0,5.0,23.0,86.0,14.0,SEDANG
227,Place_1,57.0,8.0,21.0,74.0,18.0,SEDANG
228,Place_1,56.0,8.0,22.0,62.0,13.0,SEDANG
229,Place_1,58.0,9.0,25.0,39.0,14.0,SEDANG
230,Place_1,57.0,9.0,23.0,68.0,10.0,SEDANG
231,Place_1,55.0,6.0,18.0,65.0,10.0,SEDANG
232,Place_1,50.0,4.0,25.0,77.0,12.0,SEDANG
233,Place_1,54.0,7.0,26.0,66.0,14.0,SEDANG
234,Place_1,58.0,9.0,27.0,66.0,19.0,SEDANG
235,Place_1,67.0,9.0,30.0,72.0,19.0,SEDANG
236,Place_1,69.0,8.0,27.0,63.0,14.0,SEDANG
237,Place_1,75.0,10.0,30.0,58.0,22.0,SEDANG
238,Place_1,69.0,9.0,26.0,58.0,19.0,SEDANG
239,Place_1,64.0,9.0,15.0,57.0,10.0,SEDANG
240,Place_1,62.0,9.0,25.0,48.0,12.0,SEDANG
241,Place_1,61.0,9.0,27.0,58.0,14.0,SEDANG
242,Place_1,68.0,8.0,28.0,72.0,23.0,SEDANG
243,Place_1,63.0,9.0,27.0,49.0,12.0,SEDANG
244,Place_1,69.0,9.0,30.0,53.0,16.0,SEDANG
245,Place_1,58.0,6.0,28.0,49.0,15.0,SEDANG
246,Place_1,61.0,9.0,15.0,67.0,13.0,SEDANG
247,Place_1,62.0,9.0,28.0,77.0,15.0,SEDANG
248,Place_1,69.0,7.0,35.0,74.0,24.0,SEDANG
249,Place_1,68.0,6.0,33.0,82.0,19.0,SEDANG
250,Place_1,72.0,8.0,29.0,98.0,24.0,SEDANG
251,Place_1,67.0,7.0,31.0,74.0,19.0,SEDANG
252,Place_1,70.0,9.0,32.0,64.0,19.0,SEDANG
253,Place_1,62.0,5.0,26.0,72.0,14.0,SEDANG
254,Place_1,68.0,7.0,34.0,68.0,20.0,SEDANG
255,Place_1,80.0,9.0,35.0,74.0,21.0,SEDANG
256,Place_1,66.0,10.0,33.0,57.0,18.0,SEDANG
257,Place_1,71.0,10.0,29.0,48.0,17.0,SEDANG
258,Place_1,73.0,8.0,32.0,66.0,22.0,SEDANG
259,Place_1,65.0,7.0,28.0,90.0,19.0,SEDANG
260,Place_1,51.0,5.0,24.0,81.0,15.0,SEDANG
261,Place_1,55.0,8.0,35.0,44.0,17.0,BAIK
262,Place_1,55.0,9.0,34.0,81.0,26.0,SEDANG
263,Place_1,64.0,7.0,30.0,62.0,17.0,SEDANG
264,Place_1,71.0,8.0,30.0,74.0,19.0,SEDANG
265,Place_1,68.0,9.0,32.0,49.0,18.0,SEDANG
266,Place_1,62.0,7.0,25.0,94.0,19.0,SEDANG
267,Place_1,65.0,6.0,33.0,89.0,16.0,SEDANG
268,Place_1,66.0,8.0,30.0,71.0,27.0,SEDANG
269,Place_1,64.0,9.0,27.0,48.0,22.0,SEDANG
270,Place_1,63.0,10.0,27.0,64.0,30.0,SEDANG
271,Place_1,67.0,7.0,26.0,80.0,19.0,SEDANG
272,Place_1,65.0,8.0,31.0,76.0,19.0,SEDANG
273,Place_1,70.0,10.0,26.0,66.0,18.0,SEDANG
274,Place_1,72.0,11.0,26.0,69.0,12.0,SEDANG
275,Place_1,69.0,8.0,29.0,60.0,18.0,SEDANG
276,Place_1,85.0,10.0,33.0,79.0,23.0,SEDANG
277,Place_1,78.0,9.0,31.0,81.0,21.0,SEDANG
278,Place_1,71.0,8.0,33.0,78.0,24.0,SEDANG
279,Place_1,71.0,9.0,31.0,72.0,19.0,SEDANG
280,Place_1,74.0,9.0,31.0,88.0,18.0,SEDANG
281,Place_1,75.0,5.0,30.0,123.0,18.0,TIDAK SEHAT
282,Place_1,67.0,8.0,31.0,80.0,17.0,SEDANG
283,Place_1,72.0,10.0,32.0,58.0,22.0,SEDANG
284,Place_1,60.0,10.0,29.0,69.0,19.0,SEDANG
285,Place_1,61.0,8.0,31.0,59.0,21.0,SEDANG
286,Place_1,64.0,9.0,30.0,84.0,21.0,SEDANG
287,Place_1,62.0,10.0,29.0,94.0,18.0,SEDANG
288,Place_1,59.0,5.0,20.0,76.0,14.0,SEDANG
289,Place_1,60.0,6.0,30.0,66.0,15.0,SEDANG
290,Place_1,56.0,6.0,18.0,57.0,11.0,SEDANG
291,Place_1,65.0,9.0,25.0,49.0,14.0,SEDANG
292,Place_1,65.0,10.0,20.0,44.0,12.0,SEDANG
293,Place_1,59.0,9.0,23.0,48.0,10.0,SEDANG
294,Place_1,72.0,8.0,37.0,97.0,18.0,SEDANG
295,Place_1,47.0,7.0,19.0,65.0,12.0,SEDANG
296,Place_1,63.0,8.0,31.0,93.0,19.0,SEDANG
297,Place_1,66.0,9.0,30.0,52.0,18.0,SEDANG
298,Place_1,66.0,8.0,33.0,60.0,25.0,SEDANG
299,Place_1,65.0,7.0,38.0,99.0,22.0,SEDANG
300,Place_1,82.0,11.0,38.0,70.0,30.0,SEDANG
301,Place_1,78.0,9.0,35.0,70.0,18.0,SEDANG
302,Place_1,74.0,8.0,41.0,70.0,18.0,SEDANG
303,Place_1,58.0,9.0,30.0,52.0,15.0,SEDANG
304,Place_1,65.0,8.0,42.0,63.0,23.0,SEDANG
305,Place_1,69.0,7.0,59.0,81.0,24.0,SEDANG
306,Place_1,76.0,8.0,38.0,81.0,20.0,SEDANG
307,Place_1,69.0,8.0,34.0,84.0,22.0,SEDANG
308,Place_1,59.0,8.0,44.0,74.0,23.0,SEDANG
309,Place_1,55.0,9.0,28.0,76.0,13.0,SEDANG
310,Place_1,66.0,8.0,30.0,83.0,21.0,SEDANG
311,Place_1,71.0,8.0,31.0,89.0,18.0,SEDANG
312,Place_1,74.0,7.0,32.0,99.0,19.0,SEDANG
313,Place_1,75.0,10.0,36.0,85.0,28.0,SEDANG
314,Place_1,75.0,9.0,35.0,84.0,25.0,SEDANG
315,Place_1,59.0,8.0,49.0,43.0,19.0,SEDANG
316,Place_1,75.0,10.0,42.0,69.0,21.0,SEDANG
317,Place_1,60.0,5.0,37.0,87.0,19.0,SEDANG
318,Place_1,68.0,6.0,60.0,114.0,20.0,TIDAK SEHAT
319,Place_1,62.0,8.0,33.0,98.0,18.0,SEDANG
320,Place_1,58.0,9.0,33.0,56.0,16.0,SEDANG
321,Place_1,49.0,5.0,32.0,58.0,13.0,SEDANG
322,Place_1,48.0,7.0,29.0,43.0,12.0,BAIK
323,Place_1,48.0,8.0,26.0,29.0,9.0,BAIK
324,Place_1,39.0,8.0,21.0,19.0,9.0,BAIK
325,Place_1,51.0,9.0,28.0,37.0,16.0,SEDANG
326,Place_1,58.0,11.0,26.0,46.0,13.0,SEDANG
327,Place_1,59.0,13.0,27.0,59.0,17.0,SEDANG
328,Place_1,62.0,7.0,20.0,67.0,14.0,SEDANG
329,Place_1,55.0,10.0,27.0,78.0,12.0,SEDANG
330,Place_1,63.0,12.0,27.0,33.0,17.0,SEDANG
331,Place_1,58.0,10.0,35.0,65.0,20.0,SEDANG
332,Place_1,80.0,13.0,32.0,67.0,18.0,SEDANG
333,Place_1,52.0,8.0,28.0,71.0,15.0,SEDANG
334,Place_1,61.0,9.0,31.0,100.0,24.0,SEDANG
335,Place_1,61.0,6.0,19.0,83.0,16.0,SEDANG
336,Place_1,72.0,7.0,32.0,93.0,19.0,SEDANG
337,Place_1,75.0,5.0,37.0,106.0,18.0,TIDAK SEHAT
338,Place_1,72.0,7.0,38.0,83.0,15.0,SEDANG
339,Place_1,57.0,7.0,33.0,76.0,13.0,SEDANG
340,Place_1,56.0,6.0,42.0,78.0,17.0,SEDANG
341,Place_1,64.0,18.0,37.0,19.0,14.0,SEDANG
342,Place_1,49.0,18.0,34.0,19.0,13.0,BAIK
343,Place_1,56.0,18.0,57.0,19.0,12.0,SEDANG
344,Place_1,39.0,18.0,38.0,19.0,9.0,BAIK
345,Place_1,64.0,18.0,66.0,77.0,3.0,SEDANG
346,Place_1,43.0,2.0,41.0,88.0,21.0,SEDANG
347,Place_1,38.0,2.0,39.0,65.0,21.0,SEDANG
348,Place_1,71.0,4.0,43.0,61.0,20.0,SEDANG
349,Place_1,61.0,5.0,32.0,79.0,17.0,SEDANG
350,Place_1,55.0,3.0,50.0,58.0,12.0,SEDANG
351,Place_1,55.0,4.0,50.0,34.0,9.0,BAIK
352,Place_1,55.0,4.0,50.0,40.0,10.0,BAIK
353,Place_1,40.0,4.0,32.0,43.0,10.0,BAIK
354,Place_1,57.0,9.0,32.0,63.0,12.0,SEDANG
355,Place_1,57.0,5.0,21.0,61.0,12.0,SEDANG
356,Place_1,63.0,4.0,33.0,52.0,15.0,SEDANG
357,Place_1,61.0,7.0,28.0,51.0,11.0,SEDANG
358,Place_1,50.0,4.0,21.0,55.0,12.0,SEDANG
359,Place_1,41.0,4.0,26.0,53.0,12.0,SEDANG
360,Place_1,28.0,2.0,26.0,52.0,13.0,SEDANG
361,Place_1,77.0,3.0,39.0,54.0,13.0,SEDANG
362,Place_1,55.0,4.0,29.0,58.0,12.0,SEDANG
363,Place_1,60.0,5.0,40.0,68.0,13.0,SEDANG
364,Place_1,55.0,7.0,30.0,56.0,14.0,SEDANG
365,Place_1,39.0,4.0,18.0,48.0,10.0,BAIK
366,Place_1,27.0,2.0,18.0,45.0,6.0,BAIK
367,Place_1,40.0,5.0,27.0,52.0,13.0,SEDANG
368,Place_1,51.0,3.0,31.0,57.0,12.0,SEDANG
369,Place_1,50.0,5.0,39.0,41.0,10.0,BAIK
370,Place_1,39.0,3.0,24.0,56.0,10.0,SEDANG
371,Place_1,51.0,4.0,28.0,75.0,21.0,SEDANG
372,Place_1,44.0,1.0,25.0,71.0,13.0,SEDANG
373,Place_1,40.0,6.0,39.0,54.0,15.0,SEDANG
374,Place_1,54.0,9.0,36.0,53.0,16.0,SEDANG
375,Place_1,46.0,3.0,29.0,54.0,10.0,SEDANG
376,Place_1,50.0,4.0,39.0,46.0,14.0,BAIK
377,Place_1,51.0,2.0,33.0,56.0,18.0,SEDANG
378,Place_1,39.0,1.0,25.0,55.0,15.0,SEDANG
379,Place_1,38.0,1.0,26.0,57.0,15.0,SEDANG
380,Place_1,54.0,2.0,23.0,53.0,13.0,SEDANG
381,Place_1,44.0,2.0,28.0,52.0,15.0,SEDANG
382,Place_1,59.0,7.0,29.0,51.0,15.0,SEDANG
383,Place_1,48.0,2.0,26.0,53.0,15.0,SEDANG
384,Place_1,59.0,4.0,41.0,50.0,17.0,SEDANG
385,Place_1,53.0,2.0,23.0,53.0,15.0,SEDANG
386,Place_1,60.0,3.0,32.0,56.0,12.0,SEDANG
